user_name,user_url,rating_num,comment_time,content,vote_count,attitude
锐利修蕊,https://www.douban.com/people/ruilixiurui/,user-stars allstar20 rating,2020/6/12,比前几首玩票性质的单曲当然是认真了很多。但是这个歌有任何令人惊喜的地方吗？没有，好久没听到能让人耳目一新的周杰伦了，别吹情怀，副歌部分比主歌好一点点，但新专辑估计又是最近几张的彩色调，周郎才尽其实不丢人，毕竟不能渴求创作者一直保持高水准。,1238,0
twotwo,https://www.douban.com/people/GuanRenWoYao/,user-stars allstar20 rating,2020/6/12,建议周杰伦老老实实过婚后生活吧，演唱会水时长，发新歌感觉纯粹为了去古巴旅游顺便拍了个vlog，18年前开始听歌的老路人粉表示这样下去真的在自作自糊。40岁的人了，赚点体面钱吧。一星底线，一星给点体面。,1038,0
Costi,https://www.douban.com/people/costi/,user-stars allstar50 rating,2020/6/12,二十年铁粉夏日落泪。一个有趣的小知识，如果有人吐槽「周郎才尽」足够早，到今天也差不多十五年了。十五年，批评的角度还是日趋固化的「不新鲜」和「乏味」，会不会显得比自己的评判对象还迂腐。早点儿接受文艺作品的黄金年代（也就是大部分人的青年时期）过去了不会再来，对新的作品接受程度能大幅提升。固守成见的人喜欢说「迷迭香」不知道高到哪里去了，乐观的朋友则欣喜地在听新的「迷迭香」。,930,1
Santé,https://www.douban.com/people/trueGugi/,,2020/6/12,属于那种Spotify 新歌推送，听到会直接切走的歌,259,0
月山行,https://www.douban.com/people/xmns/,,2020/6/12,比前几首好很多了，但还没有达到周杰伦的正常水平。感觉他的问题是生活太滋润了，没有早年的伤春悲秋，烦恼才是创作的源泉。早年专辑里强烈的情绪色彩是能够直接感受得到的，忧郁的，愤怒的，狂躁的，被爱情折磨的，这些都成为他的素材，这点像Taylorswift一直保持得很好，但杰伦现在反倒是被美满的生活打成一杯温吞的白开水。只希望专辑出来有惊喜吧。,122,0
Michael JZ,https://www.douban.com/people/49145944/,user-stars allstar50 rating,2020/6/12,欢迎回来 Havana去了两次 看杰伦在Havana漫步居然格外亲切,155,2
1806,https://www.douban.com/people/liwei1806/,user-stars allstar30 rating,2020/6/12,中规中矩。小公举这次唯一聪明的一点是，他自己大概也看到了老流行套路自己的创作瓶颈，于是尝试风格切换，套用极具异域特色的地方街头艺人偶尔迸发的旋律和乐器编排作为灵感借鉴，“创作”出了一张对于他现在的歌迷来说“从未听过的”，“新鲜拉丁风格”的流水线作品。（接受网友建议，把中间与这句音乐无关的评论删了）但他似乎也忘了，或者不在乎这种策略带来的两头不讨好：本质粉觉得不流行，懂拉丁的要么觉得非常普通套路，要么排斥这种四不像。只有平时根本不听拉丁风格的人，才会觉得“哇，好惊喜，质量好高！”所以归根结底，还是在做脑残粉的生意，因为他们大概忘了，或者根本就不记得小公举很早就有《迷迭香》这样的珠玉在前了 / 2020.6.12 00:12，209人评分9.0.,597,1
Iris,https://www.douban.com/people/wuxuqian/,user-stars allstar40 rating,2020/6/12,我本来听得挺高兴的，一看豆瓣评论又有点不高兴了（抠鼻,542,1
白莲姐姐在豆瓣,https://www.douban.com/people/14683487/,user-stars allstar10 rating,2020/6/12,救命周杰伦真的好油腻我不行了 他到底什么时候承认自己已经江郎才尽了啊 对大多数了还唱这种三十年前风格的东西要了老命,131,0
王喝冰,https://www.douban.com/people/wangshijie1029/,user-stars allstar40 rating,2020/6/12,啊，中间的那段rap，老子的青春回来了…,106,2
肖战他爹张元英,https://www.douban.com/people/207777882/,user-stars allstar50 rating,2020/6/12,一开始听很普通，但周董凭借着独特的嗓音，越听越入迷，支持??????????,110,2
白色风车,https://www.douban.com/people/204333577/,user-stars allstar50 rating,2020/6/12,周郎才尽虽迟但到，周郎才尽不尽不知道，但你们的话术倒是才尽了，下次换一套说不定效果奇佳,575,1
晚不安,https://www.douban.com/people/yellowmoonbird/,user-stars allstar20 rating,2020/6/12,食之无味，弃之不可惜。,249,1
Doublebitch,https://www.douban.com/people/new4new4/,user-stars allstar20 rating,2020/6/12,到底哪儿好听了？而且咱MV造型能不能别这么油,83,0
孬爷爷,https://www.douban.com/people/post-rocker/,user-stars allstar30 rating,2020/6/12,就周董的正常水平啊，可惜mv拉低了歌曲的档次。以他的能力，这种水平的歌曲，一天怎么着也能写5首吧？华语流行音乐需要变革！需要创新！不能再一潭死水了！怀念《爸我回来了》《双截棍》?? ，2000年初期的华语乐坛是不是顶峰了？,52,2
飞机场02:30,https://www.douban.com/people/4000937/,user-stars allstar20 rating,2020/6/12,就这样？？？简单芭乐歌曲一首，来来回回就那么几段起伏，再加上几句rap，旋律编曲太套路了，歌词配合MV腻味得很。从前怎么样也没想到有一天周杰伦会和「油腻」「低龄」这些字眼挂上钩，然而他真做到了。呃，他还是回去帮他老婆卖美瞳吧。,246,0
野次馬,https://www.douban.com/people/RAKA/,user-stars allstar20 rating,2020/6/12,回去听迷迭香不好吗……黄俊郎这次的词也写得跟玩儿似的。,71,0
郑宁素,https://www.douban.com/people/zjnsas/,user-stars allstar40 rating,2020/6/12,这首真还行，比前几首强多了。,361,2
听懂掌声,https://www.douban.com/people/Shiningisland/,user-stars allstar30 rating,2020/6/12,就这？？！不是吧阿Sir！,58,0
嘟嘟熊之父,https://www.douban.com/people/duduxiongzhifu/,user-stars allstar20 rating,2020/6/12,连周杰伦吐字都这么清晰了，还有什么不会变？,46,0
????????????,https://www.douban.com/people/RLyN/,user-stars allstar20 rating,2020/6/12,？无语。“而这首歌是周董去古巴之前就已创作完成的歌曲，洋溢古巴风情的拉丁曲风让人惊艳！令人好奇当时没去过古巴的他怎么做到的？其实就像20年前周杰伦写R&B曲风的歌，当时被大家误以为他是ABC，其实他当时根本没去过美国！如今周杰伦更多元化的写出拉丁风格的歌曲《Mojito》！周式音乐魔法就是这么神奇！”,48,2
???????????? | ?,https://www.douban.com/people/sparkylee/,,2020/6/12,虽然比说好不哭什么的强 但前奏也太哈尔移动城堡了？？,30,0
纸 鸠,https://www.douban.com/people/KASIMON/,user-stars allstar20 rating,2020/6/12,60%「迷迭香」谱曲完成，30%「迷迭香」歌词杂糅，0%美于各大旅拍公司的havana景色，组成了一个爱穿花衬衫的中年玩童2020新歌。奶茶再加奶放微波炉叮一下是不会好喝的，望周董知。,242,0
leafalone,https://www.douban.com/people/leafalone/,user-stars allstar10 rating,2020/6/12,今年真的是无奇不有。还我三块钱。,222,0
张大水,https://www.douban.com/people/1693422/,user-stars allstar20 rating,2020/6/12,一杯糖浆兑出来的摸黑多，再加了一点古巴的朗姆酒吧。拜托，下次多挤点青柠，多加点薄荷？,42,0
天籁??,https://www.douban.com/people/libramao/,user-stars allstar40 rating,2020/6/12,比前几单好不少，副歌部分有《迷迭香》的味道，rap部分最佳，1分32到1分41这四句来来回回听了好几遍，是久违的熟悉感觉。看到友邻抒发感受“像顶级富人伪装成中产小资去谈恋爱”，嗯，我觉得像疫情过后解封的幻乐之城，日子还得过啊，也复苏了些许生机，但状态回不去了。,42,2
lliuu,https://www.douban.com/people/lou-/,user-stars allstar30 rating,2020/6/12,mv真算了吧,28,0
壁鹿,https://www.douban.com/people/poorcat/,user-stars allstar30 rating,2020/6/12,也就及格吧，当然比之前的单曲都要好点，歌词在我看来还是不行，特别是那几个为了压韵脚的“甜过头”，“孤单被征服”，整首歌比起早几年同类型的迷迭香还是差了好多。不过想想现在的华语乐坛，觉得好像也不能对周杰伦要求太高了。,22,1
Waterloosunset,https://www.douban.com/people/57566252/,user-stars allstar20 rating,2020/6/12,为什么能把牛仔很忙+魔术先生 改编的这么土啊？噢 明白了因为还掺了告白气球,37,0
宇文宙,https://www.douban.com/people/aiolia/,user-stars allstar30 rating,2020/6/12,周董的问题在于一开始起点太高，直到今天也没有后来者能威胁到他的地位，以至于他自己也缺乏前进的动力，甚至不需要什么创新，只要吃吃老本就已经足够满足粉丝顺便吊打一片。与其埋怨周董不思进取，倒不如反思一下华语乐坛这些年为什么不进反退了。,10,0
金满满.周,https://www.douban.com/people/Merlynnnnn/,user-stars allstar30 rating,2020/6/12,我是真听不出来好坏了，只知道没有《迷迭香》好听,23,0
